name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Aachen,1.0,Valid,,21.0,Fell,1880.0,50.775,6.08333,
Aarhus,2.0,,H6,720.0,Fell,1951.0,56.183330000000005,10.23333,"(56.183330, 10.233330)"
Abee,6.0,Valid,EH4,107000.0,Fell,1952.0,54.21666999999999,-113.0,
Acapulco,10.0,,Acapulcoite,1914.0,Fell,1976.0,,-99.9,"(16.883330, -99.900000)"
Achiras,,Valid,L6,780.0,Fell,1902.0,,-64.95,"(-33.166670, -64.950000)"
Adhi Kot,379.0,Valid,EH4,4239.0,,,,,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),390.0,,,910.0,Fell,1949.0,44.83333,,"(44.833330, 95.166670)"
Agen,392.0,,H5,30000.0,Fell,,44.21667,0.6166699999999999,"(44.216670, 0.616670)"
Aguada,,,L6,1620.0,Fell,1930.0,-31.6,-65.23333000000001,"(-31.600000, -65.233330)"
Aguila Blanca,417.0,Valid,L,15316.287592131426,Fell,1920.0,-30.866670000000003,-64.55,
Aioun el Atrouss,423.0,Valid,Diogenite-pm,15316.287592131426,Fell,,16.39806,-9.57028,"(16.398060, -9.570280)"
Aïr,424.0,,,24000.0,Fell,1925.0,19.08333,8.38333,
Akaba,426.0,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,
Akbarpur,427.0,Valid,,1800.0,Fell,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
Akwanga,432.0,Valid,H,3000.0,Fell,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
Akyumak,433.0,Valid,"Iron, IVA",50000.0,Fell,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
Al Rais,446.0,Valid,CR2-an,160.0,Fell,1957.0,24.41667,39.51667,"(24.416670, 39.516670)"
Al Zarnkh,,Valid,LL5,700.0,Fell,2001.0,13.660329999999998,28.96,"(13.660330, 28.960000)"
Alais,448.0,Valid,,6000.0,Fell,1806.0,44.11667,,"(44.116670, 4.083330)"
Albareto,453.0,,L/LL4,2000.0,Fell,,44.65,11.01667,"(44.650000, 11.016670)"
Alberta,,Valid,L,625.0,Fell,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
Alby sur Chéran,458.0,Valid,Eucrite-mmict,252.0,Fell,2002.0,45.821329999999996,,
Aldsworth,461.0,Valid,LL5,700.0,Fell,1835.0,,,
Aleppo,462.0,Valid,L6,3200.0,Fell,1873.0,,,"(36.233330, 37.133330)"
Alessandria,,,,908.0,,1860.0,44.88333,8.75,"(44.883330, 8.750000)"
Alexandrovsky,,Valid,H4,9251.0,Fell,,50.95,31.816670000000002,
Alfianello,,Valid,L6,228000.0,,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
Allegan,2276.0,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
Allende,,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,
Almahata Sitta,,Valid,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
Alta'ameem,,Valid,LL5,15316.287592131426,,1977.0,35.27333,,
Ambapur Nagla,,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
Andhara,2294.0,Valid,Stone-uncl,2700.0,,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
Andover,2295.0,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
Andreevka,,Valid,L3,600.0,Fell,1969.0,48.7,37.5,"(48.700000, 37.500000)"
Andura,2298.0,Valid,,17900.0,,1939.0,20.883329999999997,76.86667,
Angra dos Reis (stone),2302.0,Valid,,15316.287592131426,Fell,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
Ankober,2304.0,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
Anlong,2305.0,Valid,H5,2500.0,Fell,,25.15,105.18333,"(25.150000, 105.183330)"
Aomori,,Valid,L6,320.0,Fell,1984.0,40.810559999999995,140.78556,"(40.810560, 140.785560)"
Appley Bridge,2318.0,Valid,LL6,15000.0,Fell,1914.0,53.583330000000004,,"(53.583330, -2.716670)"
Apt,,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
Arbol Solo,2325.0,Valid,H5,810.0,Fell,1954.0,-33.0,-66.0,
Archie,2329.0,Valid,H6,5070.0,Fell,1932.0,38.5,,
Arroyo Aguiar,2340.0,Valid,,15316.287592131426,,1950.0,,-60.666669999999996,"(-31.416670, -60.666670)"
Asco,2345.0,,,41.0,Fell,1805.0,,9.03333,"(42.450000, 9.033330)"
Ash Creek,48954.0,Valid,,15316.287592131426,Fell,,31.805,-97.01,"(31.805000, -97.010000)"
Ashdon,2346.0,Valid,,15316.287592131426,,1923.0,52.05,0.3,"(52.050000, 0.300000)"
Assisi,2353.0,,,2000.0,Fell,1886.0,43.03333,,"(43.033330, 12.550000)"
Atarra,4883.0,,L4,1280.0,Fell,1920.0,25.254170000000002,80.625,"(25.254170, 80.625000)"
Atemajac,4884.0,,L6,94.2,Fell,1896.0,20.066670000000002,-103.66667,"(20.066670, -103.666670)"
Athens,4885.0,,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.750000, -87.000000)"
Atoka,4888.0,Valid,,1384.2,Fell,,34.31667,-96.15,"(34.316670, -96.150000)"
Aubres,,Valid,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,"(44.383330, 5.166670)"
Aumale,4899.0,Valid,L6,50000.0,,1865.0,36.16667,3.66667,"(36.166670, 3.666670)"
Aumieres,4900.0,,L6,2000.0,,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
Ausson,4903.0,Valid,L5,50000.0,Fell,1858.0,,0.58333,"(43.083330, 0.583330)"
Avanhandava,4905.0,Valid,H4,9330.0,,1952.0,-21.460279999999997,,
Avce,,Valid,"Iron, IIAB",1230.0,Fell,1908.0,,13.5,"(46.000000, 13.500000)"
Avilez,4907.0,Valid,H,146.0,,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
Awere,4910.0,Valid,,134.0,Fell,1968.0,2.71667,32.83333,
Aztec,4913.0,Valid,,15316.287592131426,Fell,,36.8,-108.0,"(36.800000, -108.000000)"
Bachmut,4917.0,Valid,L6,18000.0,,1814.0,48.6,38.0,"(48.600000, 38.000000)"
Bahjoi,4922.0,Valid,"Iron, IAB-sLL",10322.0,,1934.0,,,
Bald Mountain,4925.0,Valid,,3700.0,Fell,1929.0,,-82.48333000000001,"(35.966670, -82.483330)"
Baldwyn,4926.0,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.500000, -88.666670)"
Bali,4928.0,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.383329999999997,"(5.383330, 16.383330)"
Ban Rong Du,4934.0,Valid,"Iron, ungrouped",16700.0,Fell,1993.0,,101.18333,"(16.666670, 101.183330)"
Bandong,4935.0,,LL6,11500.0,Fell,1871.0,-6.91667,,
Bansur,4936.0,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
Banswal,4937.0,Valid,L5,14.0,Fell,1913.0,30.4,78.2,"(30.400000, 78.200000)"
Banten,4938.0,Valid,CM2,15316.287592131426,Fell,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
Barbotan,4942.0,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
Barea,,Valid,,3200.0,Fell,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
Barnaul,4947.0,Valid,,23.2,Fell,1904.0,,84.08333,
Barntrup,4948.0,Valid,LL4,15316.287592131426,Fell,,52.0,9.1,
Baroti,4949.0,Valid,L6,4500.0,Fell,1910.0,31.616670000000003,76.8,"(31.616670, 76.800000)"
Barwell,,,L5,44000.0,Fell,,,-1.33972,"(52.565280, -1.339720)"
Bassikounou,44876.0,Valid,H5,29560.0,Fell,2006.0,,-5.9,"(15.783330, -5.900000)"
Baszkówka,4957.0,,L5,15500.0,,1994.0,52.03333,,"(52.033330, 20.935830)"
Bath,4974.0,Valid,,21000.0,Fell,,45.41667,,"(45.416670, -98.316670)"
Bath Furnace,4975.0,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,
Battle Mountain,56133.0,Valid,,2900.0,Fell,,40.66813,-117.18913,"(40.668130, -117.189130)"
Bawku,,Valid,LL5,1557.0,Fell,1989.0,11.08333,,"(11.083330, -0.183330)"
Baxter,4977.0,,L6,611.0,Fell,,36.75,-93.5,
Beardsley,,Valid,H5,16000.0,,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
Beaver Creek,4986.0,Valid,H5,14000.0,Fell,1893.0,51.16667,,
Beddgelert,4993.0,Valid,H5,15316.287592131426,Fell,1949.0,53.01667,-4.1,"(53.016670, -4.100000)"
Bells,5005.0,,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,
Benares (a),5011.0,Valid,LL4,3700.0,Fell,1798.0,25.366670000000003,82.91667,
Benguerir,30443.0,Valid,LL6,25000.0,,2004.0,32.25,-8.15,"(32.250000, -8.150000)"
Beni M'hira,5018.0,Valid,L6,19000.0,Fell,2001.0,32.86667,10.8,"(32.866670, 10.800000)"
