name,mass,year
Aachen,21.0,
Aarhus,720.0,1951.0
Abee,107000.0,1952.0
Acapulco,1914.0,1976.0
Achiras,780.0,1902.0
Adhi Kot,4239.0,1919.0
Adzhi-Bogdo (stone),910.0,1949.0
Agen,30000.0,
Aguada,1620.0,
Aguila Blanca,1440.0,1920.0
Aioun el Atrouss,1000.0,1974.0
Aïr,,
Akaba,779.0,1949.0
Akbarpur,,1838.0
Akwanga,3000.0,1959.0
Akyumak,50000.0,1981.0
Al Rais,160.0,
Al Zarnkh,700.0,2001.0
Alais,,1806.0
Albareto,,1766.0
Alberta,625.0,1949.0
Alby sur Chéran,252.0,2002.0
Aldsworth,700.0,1835.0
Aleppo,3200.0,
Alessandria,908.0,1860.0
Alexandrovsky,9251.0,1900.0
Alfianello,228000.0,
Allegan,32000.0,1899.0
Allende,2000000.0,1969.0
Almahata Sitta,3950.0,
Alta'ameem,6000.0,
Ambapur Nagla,,1895.0
Andhara,2700.0,1880.0
Andover,,1898.0
Andreevka,,1969.0
Andura,,1939.0
Angra dos Reis (stone),1500.0,1869.0
Ankober,6500.0,1942.0
Anlong,,1971.0
Aomori,320.0,
Appley Bridge,15000.0,1914.0
Apt,,1803.0
Arbol Solo,810.0,1954.0
Archie,,1932.0
Arroyo Aguiar,7450.0,1950.0
Asco,41.0,1805.0
Ash Creek,9500.0,
Ashdon,1300.0,1923.0
Assisi,2000.0,1886.0
Atarra,1280.0,1920.0
Atemajac,94.2,1896.0
Athens,265.0,1933.0
Atoka,1384.2,
Aubres,800.0,
Aumale,,1865.0
Aumieres,,1842.0
Ausson,,1858.0
Avanhandava,9330.0,1952.0
Avce,1230.0,1908.0
Avilez,146.0,1855.0
Awere,134.0,
Aztec,,1938.0
Bachmut,18000.0,1814.0
Bahjoi,10322.0,1934.0
Bald Mountain,,
Baldwyn,345.0,1922.0
Bali,1000.0,1907.0
Ban Rong Du,16700.0,
Bandong,11500.0,1871.0
Bansur,15000.0,1892.0
Banswal,14.0,
Banten,629.0,1933.0
Barbotan,,1790.0
Barea,3200.0,1842.0
Barnaul,23.2,1904.0
Barntrup,17.0,1886.0
Baroti,4500.0,1910.0
Barwell,44000.0,1965.0
Bassikounou,29560.0,
Baszkówka,15500.0,1994.0
Bath,21000.0,1892.0
Bath Furnace,86000.0,1902.0
Battle Mountain,,2012.0
Bawku,1557.0,1989.0
Baxter,611.0,1916.0
Beardsley,16000.0,1929.0
Beaver Creek,14000.0,
Beddgelert,794.0,1949.0
Bells,375.0,1961.0
Benares (a),,1798.0
Benguerir,25000.0,2004.0
Beni M'hira,19000.0,2001.0
Benld,1770.5,1938.0
Benoni,3880.0,1943.0
Bensour,45000.0,2002.0
Benton,2840.0,1949.0
Berduc,270.0,2008.0
Béréba,18000.0,1924.0
Berlanguillas,1440.0,1811.0
Berthoud,960.0,2004.0
Bethlehem,13.9,1859.0
Beuste,,1859.0
Beyrout,1100.0,1921.0
Bhagur,18.0,1877.0
Bhawad,678.0,2002.0
Bherai,,1893.0
Bhola,1047.0,1940.0
Bholghati,2500.0,1905.0
Bialystok,4000.0,1827.0
Bielokrynitschie,1900.0,1887.0
Bilanga,,
Binningup,488.1,
Birni N'konni,560.0,1923.0
Bishopville,6000.0,
Bishunpur,1039.0,1895.0
Bjelaja Zerkov,1850.0,1796.0
Bjurböle,330000.0,1899.0
Black Moshannan Park,705.0,1941.0
Blackwell,2381.0,1906.0
Blanket,5100.0,1909.0
Blansko,470.0,1833.0
Bloomington,67.8,1938.0
Bo Xian,7500.0,1977.0
Bocas,,
Bogou,8800.0,1962.0
Boguslavka,,1916.0
Borgo San Donino,1676.0,1808.0
Bori,,
Boriskino,,1930.0
Borkut,7000.0,1852.0
Borodino,500.0,
Botschetschki,614.0,1823.0
